Id;Label
nebenstehende_kameraden;Nebenstehende Kameraden
wieder_ein_gardist;Wieder ein Gardist
garde_und_heer;Garde und Heer
ein_adjutant_4-6a;Ein Adjutant
erster_adjutant_4-6a;Erster Adjutant
zweiter_adjutant_4-6a;Zweiter Adjutant
ein_adjutant_4-6b;Ein Adjutant
ein_offizier_4-6b;Ein Offizier (IV/6)
erster_adjutant_4-6b;Erster Adjutant
zweiter_adjutant_4-6b;Zweiter Adjutant
ein_anderer_offizier;Ein anderer Offizier
der_heransprengende_adjutant;Der heransprengende Adjutant
die_offiziere_der_garde;Die Offiziere der Garde
die_garde_4-6;Die Garde (IV/6)
adjutanten_4-6b;Adjutanten
herzog_von_braunschweig;Herzog von Braunschweig
schwarzer_becker;Schwarzer Becker
englischer_artillerieobrist;Ein englischer Artillerieobrist
adeline;Adeline
herzog_von_wellington;Herzog von Wellington
herzogin_von_chimay;Herzogin von Chimay
preussischer_adjutant;Preußischer Adjutant
ein_englischer_offizier_5-1;Ein englischer Offizier (V/1)
volk_5-1;Volk (V/1)
die_hochlaendischen_regimenter;Die hochländischen Regimenter
erster_aufwaerter;Erster Aufwärter
zweiter_aufwaerter;Zweiter Aufwärter
der_trainknecht_einer_kanone;Der Trainknecht einer Kanone
ephraim;Ephraim
buelow;Bülow
ein_heransprengender_adjutant_5-2;Ein heransprengender Adjutant (V/2)
james;Ein englischer Jäger (James)
sergeant_der_englischen_jaeger;Ein Sergeant der englischen Jäger
englischer_general;Der am Hohlweg kommandierende englische General
hauptmann_der_hannoverischen_scharfschuetzen;Ein Hauptmann der hannoverischen Scharfschützen
fritz;Fritz
ein_alter_hannoverischer_scharfschuetz;Ein alter hannoverischer Scharfschütz
ein_franzoesischer_hauptmann;Ein französischer Hauptmann
ein_anderer_franzoesischer_hauptmann;Ein anderer französischer Hauptmann
ein_englischer_liniensoldat;Ein englischer Liniensoldat
ein_franzoesischer_soldat;Ein französischer Soldat
franzoesische_adjutanten;Französische Adjutanten
die_franzosen;Die Franzosen
ein_englischer_obrist;Ein englischer Obrist
der_adjutant_5-3;Der Adjutant (V/3)
lord_somerset;Lord Somerset
adjutanten_5-4;Adjutanten (V/4)
versprengte_englische_dragoner;Versprengte englische Dragoner
milhaud;Milhaud
die_kuerassiere;Die Kürassiere
einer_der_kuerassiere;Einer der Kürassiere
englischer_fahnentraeger;Englischer Fahnenträger
mehrere_kuerassiere;Mehrere Kürassiere
ein_englischer_offizier_5-4;Ein englischer Offizier (V/4)
ein_kuerassier;Ein Kürassier
ein_offizier_des_generalstabes;Ein Offizier des Generalstabes
paechter_lacoste;Pächter Lacoste
ein_adjutant_5-5a;Ein Adjutant (V/5)
adjutanten_5-5;Adjutanten (V/5)
ein_offizier_der_gardegrenadiere_zu_pferde;Ein Offizier der Gardegrenadiere zu Pferde
ein_anderer_offizier_der_gardegrenadiere_zu_pferde;Ein anderer Offizier der Gardegrenadiere zu Pferde
ein_offizier_der_suite;Ein Offizier der Suite
ein_adjutant_5-5b;Ein Adjutant (V/5)
zweiter_adjutant_5-5;Zweiter Adjutant (V/5)
dritter_adjutant_5-5;Dritter Adjutant (V/5)
ein_adjutant_5-5c;Ein Adjutant (V/5)
ein_heransprengender_adjutant_5-5;Ein heransprengender Adjutant (V/5)
andere_adjutanten_5-5a;Andere Adjutanten
andere_adjutanten_5-5b;Andere Adjutanten
ein_ankommender_adjutant_5-5;Ein ankommender Adjutant
ein_anderer_adjutant_5-5;Ein anderer Adjutant
viele_adjutanten_5-5;Viele Adjutanten
andere_adjutanten_5-5c;Andere Adjutanten
ein_adjutant_5-5d;Ein Adjutant (V/5)
die_garde_5-5;Die Garde (V/5)
gardemusik;Gardemusik
alle_offiziere_der_suite;Alle Offiziere der Suite
einer_der_gardehoboisten;Einer der Gardehoboisten
lobau;Lobau
ziethen;Ziethen
eine_masse_franzoesischer_reiter;Eine Masse französischer Reiter
eine_masse_franzoesischer_infanterie;Eine Masse französischer Infanterie
eine_masse_franzoesischer_reittender_artillerie;Eine Masse französischer reittender Artillerie
ein_franzoesischer_infanterieoffizier;Ein französischer Infanterieoffizier
ein_englischer_dragoneroffizier;Ein englischer Dragoneroffizier
englische_und_preussische_reiterei;Englische und preußische Reiterei
die_granitkolonne;Die Granitkolonne
