Source;Target;Type;Weight
der_heransprengende_adjutant;dritter_offizier;Undirected;1
fuenfter_jaeger;sechster_jaeger;Undirected;1
ein_vorstaedter_3-1a;einer_aus_der_masse;Undirected;1
frau_des_kraemers;vorstaedter_und_anderes_volk;Undirected;1
bertrand;ein_anderer_offizier;Undirected;1
adeline;erster_aufwaerter;Undirected;1
koenig_ludwig;mehrere_stimmen_1-2;Undirected;1
eine_linieninfanteriepatrouille;vitry;Undirected;1
ein_vorstaedter_3-1a;jouve;Undirected;1
garde_und_heer;sergeant_4-6;Undirected;1
der_alte_gaertner;die_damen_der_halle;Undirected;1
ein_hauptmann_der_schweizergarde;schweizergardist;Undirected;1
englischer_general;hauptmann_der_hannoverischen_scharfschuetzen;Undirected;1
einer_aus_der_masse;schneidermeister;Undirected;1
chassecoeur;ein_anderer_offizier;Undirected;1
ein_kammerherr;offizier_3-3c;Undirected;1
die_stuhlvermieterin;ein_polizeibeamter;Undirected;1
goettin_der_vernunft;schneidermeister;Undirected;1
ein_englischer_offizier_5-1;preussischer_adjutant;Undirected;1
ein_buerger_3-1a;weiber;Undirected;1
ein_offizier_4-6a;napoleon;Undirected;1
offizier_3-3a;offizier_3-3b;Undirected;1
ein_buerger_3-1b;ein_vorstaedter_3-1b;Undirected;1
ein_kammerherr;eine_ordonnanz_c;Undirected;1
adjutanten_5-5;ein_adjutant_5-5d;Undirected;1
chassecoeur;gensdarmeriepatrouille_zu_fuss;Undirected;1
die_garde_4-6;erster_adjutant_4-6b;Undirected;1
anderes_volk;vorstaedter_von_st_antoine;Undirected;1
jouve;wieder_andere;Undirected;1
ein_adjutant_4-6a;wieder_ein_gardist;Undirected;1
eine_masse_franzoesischer_infanterie;lobau;Undirected;1
cambronne;der_offizier_1-4;Undirected;1
sergeant_4-6;zweiter_offizier;Undirected;1
mehrere;viele_stimmen_1-2;Undirected;1
graf_blacas_d_aulps;herzogin_von_angouleme;Undirected;2
ein_buerger_3-1b;viele_vorstaedter_a;Undirected;1
james;sergeant_der_englischen_jaeger;Undirected;1
das_volk_1-1;poebel;Undirected;1
ein_adjutant_4-6a;garde_und_heer;Undirected;1
geschrei;vitry;Undirected;1
die_schreibenden;eine_ordonnanz_c;Undirected;1
savoyardenknabe;volk_im_hintergrunde;Undirected;1
bluecher;ephraim;Undirected;1
bertrand;eine_ordonnanz_b;Undirected;1
bluecher;erster_jaeger;Undirected;1
viele_vorstaedter_a;volk_im_hintergrunde;Undirected;1
bertrand;die_granitkolonne;Undirected;1
ein_vorstaedter_3-1b;viele_vorstaedter_b;Undirected;1
ein_franzoesischer_soldat;franzoesische_adjutanten;Undirected;1
adjutanten_4-6a;zweiter_adjutant_4-6a;Undirected;1
bluecher;dritter_jaeger;Undirected;1
herzog_von_berry;herzogin_von_angouleme;Undirected;2
ein_kammerherr;fouche;Undirected;1
ein_adjutant_5-5d;ein_offizier_der_suite;Undirected;1
jouve;viele_des_volkes;Undirected;1
bluecher;vierter_jaeger;Undirected;1
napoleon;zweiter_adjutant_4-6a;Undirected;1
schneidermeister;volk_im_vordergrunde;Undirected;1
ein_aeltliches_frauenzimmer;viele_aus_dem_volk_3-1;Undirected;1
advokat_duchesne;vorstaedter_und_anderes_volk;Undirected;1
cambronne;zweiter_adjutant_4-6a;Undirected;1
ein_anderer_aus_der_masse;volk_3-1;Undirected;1
viele_adjutanten_5-5;zweiter_adjutant_5-5;Undirected;1
frau_des_schneidermeisters;volk_im_mittelgrunde;Undirected;1
ein_kammerherr;hortense;Undirected;1
ein_ziethenscher_husar;gneisenau;Undirected;1
ein_aeltliches_frauenzimmer;ein_anderer_aus_der_masse;Undirected;1
eine_alte_putzhaendlerin;herzog_von_orleans;Undirected;1
ein_buerger_3-1b;eine_dame_der_halle_3-1b;Undirected;1
ein_kleiner_ofenheizer;manche_der_anwesenden;Undirected;1
die_damen_der_halle;pierre;Undirected;1
der_nebenstehende;ein_nebenstehender;Undirected;1
andere;vitry;Undirected;1
andere_umstehende;ein_anderer_aus_der_masse;Undirected;1
ein_offizier_des_generalstabes;englischer_fahnentraeger;Undirected;1
koenig_ludwig;mehrere;Undirected;1
ein_alter_offizier_in_ziviltracht;poebel;Undirected;1
chassecoeur;viele_vorstaedter_b;Undirected;1
ein_kapitaen_der_voltigeurs;erster_adjutant_4-6b;Undirected;1
viele_aus_dem_volk_3-1;vorstaedter_und_anderes_volk;Undirected;1
ein_ankommender_adjutant_5-5;ein_offizier_der_gardegrenadiere_zu_pferde;Undirected;1
andere;leute_verschiedenen_standes;Undirected;1
die_damen_der_halle;eine_andere_dame_der_halle_2-1;Undirected;1
der_nebenstehende;einige;Undirected;1
bertrand;dritter_offizier;Undirected;1
koenig_ludwig;monsieur;Undirected;1
andere;andere_umstehende;Undirected;1
die_nichte;pierre;Undirected;1
schneidermeister;wieder_andere;Undirected;1
ein_buerger_3-1a;vorstaedter_und_anderes_volk;Undirected;1
anderes_volk;volk_im_vordergrunde;Undirected;1
einige;noch_andere_a;Undirected;1
ein_vorstaedter_3-1b;volk_3-1;Undirected;1
noch_andere_b;schneidermeister;Undirected;1
dritter_offizier;zweiter_offizier;Undirected;1
ein_buerger_3-1b;ein_kraemer;Undirected;1
advokat_duchesne;mehrere_stimmen_3-1b;Undirected;1
ein_ankommender;volk_im_vordergrunde;Undirected;1
eine_dame_der_halle_3-1b;mehrere_stimmen_3-1b;Undirected;1
d_ambray;kurier;Undirected;1
die_offiziere_der_garde;erster_adjutant_4-6b;Undirected;1
ein_aeltliches_frauenzimmer;mehrere_stimmen_3-1b;Undirected;1
goettin_der_vernunft;mehrere_stimmen_3-1a;Undirected;1
die_amme;koenig_ludwig;Undirected;1
advokat_duchesne;ein_buerger_3-1b;Undirected;1
adjutanten_5-4;herzog_von_wellington;Undirected;1
andere;volk_im_vordergrunde;Undirected;1
preussischer_adjutant;volk_5-1;Undirected;1
fouche;offizier_2-5;Undirected;1
der_heransprengende_adjutant;ein_fluegeladjutant;Undirected;1
dritter_jaeger;sechster_jaeger;Undirected;1
alle_offiziere_der_suite;andere_adjutanten_5-5c;Undirected;1
ein_offizier_4-6b;zweiter_adjutant_4-6a;Undirected;1
leute_verschiedenen_standes;schneidermeister;Undirected;1
herr_von_villeneuve;zeitungsausrufer;Undirected;1
das_volk_1-1;viele_stimmen_1-1b;Undirected;1
mehrere_stimmen_3-1a;volk_im_hintergrunde;Undirected;1
ein_anderer_franzoesischer_hauptmann;sergeant_der_englischen_jaeger;Undirected;1
chassecoeur;ein_aeltliches_frauenzimmer;Undirected;1
adjutanten_5-5;andere_adjutanten_5-5b;Undirected;1
ein_englischer_offizier_5-1;schwarzer_becker;Undirected;1
eine_andere_dame_der_halle_2-1;eine_dame_der_halle_2-1;Undirected;1
ein_hauptmann_der_schweizergarde;ein_kleiner_ofenheizer;Undirected;1
ein_adjutant_5-5b;ein_ankommender_adjutant_5-5;Undirected;1
alter_gardegrenadier;ein_anderer_alter_gardegrenadier;Undirected;1
chassecoeur;volk_im_hintergrunde;Undirected;1
viele_aus_dem_volk_3-1;viele_vorstaedter_b;Undirected;1
drouot;ein_fluegeladjutant;Undirected;1
andere_adjutanten_5-5b;viele_adjutanten_5-5;Undirected;1
andere_adjutanten_5-5c;milhaud;Undirected;1
andere_umstehende;vitry;Undirected;1
ausrufer_einer_menagerie;poebel;Undirected;1
mehrere_stimmen_3-1b;viele_vorstaedter_a;Undirected;1
das_volk_1-1;marquis_von_hauterive;Undirected;1
ein_anderer_franzoesischer_hauptmann;ein_franzoesischer_soldat;Undirected;1
ein_anderer_adjutant_5-5;ein_offizier_der_gardegrenadiere_zu_pferde;Undirected;1
ein_nebenstehender;vorstaedter_und_anderes_volk;Undirected;1
monsieur;oberdirektor_des_telegraphen;Undirected;1
ein_kraemer;viele_vorstaedter_a;Undirected;1
einer_der_kuerassiere;mehrere_kuerassiere;Undirected;1
ausrufer_bei_einem_guckkasten;viele_stimmen_1-1b;Undirected;1
andere;einer_aus_der_masse;Undirected;1
alle_3-1;frau_des_schneidermeisters;Undirected;1
viele_vorstaedter_b;wieder_andere;Undirected;1
ein_alter_hannoverischer_scharfschuetz;hauptmann_der_hannoverischen_scharfschuetzen;Undirected;1
goettin_der_vernunft;noch_andere_b;Undirected;1
andere;einige;Undirected;1
hortense;offizier_3-3c;Undirected;1
goettin_der_vernunft;weiber;Undirected;1
der_emigrant;viele_aus_dem_volk_3-1;Undirected;1
ein_kapitaen_der_voltigeurs;zweiter_adjutant_4-6b;Undirected;1
ein_aeltliches_frauenzimmer;volk_im_hintergrunde;Undirected;1
ein_buerger_3-1b;savoyardenknabe;Undirected;1
schweizergardist;viele_stimmen_1-2;Undirected;1
franzoesische_adjutanten;james;Undirected;1
berliner_freiwilliger;ein_heransprengender_adjutant_5-2;Undirected;1
cambronne;ein_adjutant_5-5d;Undirected;1
ein_buerger_3-1a;eine_dame_der_halle_3-1b;Undirected;1
alle_offiziere_der_suite;andere_adjutanten_5-5b;Undirected;1
ein_anderer_offizier;sergeant_4-6;Undirected;1
ein_vorstaedter_3-1b;volk_im_hintergrunde;Undirected;1
der_emigrant;frau_des_schneidermeisters;Undirected;1
carnot;zweiter_buerger_2-5;Undirected;1
bluecher;unteroffizier;Undirected;1
eine_dame_der_halle_3-1a;jouve;Undirected;1
mehrere_stimmen_1-2;schweizergardist;Undirected;1
bertrand;dritter_adjutant_5-5;Undirected;1
adjutanten_4-6a;labedoyere;Undirected;1
vierter_jaeger;zweiter_jaeger;Undirected;1
alle_3-1;ein_vorstaedter_3-1a;Undirected;1
maenner;mehrere_stimmen_3-1a;Undirected;1
englischer_artillerieobrist;volk_5-1;Undirected;1
ephraim;gneisenau;Undirected;1
leute_verschiedenen_standes;volk_im_vordergrunde;Undirected;1
ein_adjutant_4-6b;erster_adjutant_4-6b;Undirected;1
eine_ordonnanz_b;offizier_3-3c;Undirected;1
geschrei;viele_aus_dem_volk_1-1;Undirected;1
alle_3-1;frau_des_kraemers;Undirected;1
marquis_von_hauterive;viele_stimmen_1-1b;Undirected;1
maenner;noch_andere_b;Undirected;1
offizier_der_gardegrenadiere_zu_fuss;offizier_der_polnischen_lanzenreiter;Undirected;1
ein_fussgardist;garde_und_heer;Undirected;1
andere;maenner;Undirected;1
ein_offizier_4-6b;napoleon;Undirected;1
ein_anderer_aus_der_masse;viele_vorstaedter_b;Undirected;1
die_offiziere_der_garde;erster_adjutant_4-6a;Undirected;1
graf_blacas_d_aulps;marschall_ney;Undirected;1
chassecoeur;wieder_andere;Undirected;1
geschrei;savoyardenknabe;Undirected;1
fouche;offizier_3-3a;Undirected;1
ausrufer_bei_einem_guckkasten;viele_stimmen_1-1a;Undirected;1
eine_alte_putzhaendlerin;einer_aus_dem_gefolge_des_herzogs;Undirected;1
die_garde_5-5;ein_adjutant_5-5b;Undirected;1
chassecoeur;drouot;Undirected;1
andere_adjutanten_5-5a;ein_heransprengender_adjutant_5-5;Undirected;1
ein_hauptmann_der_schweizergarde;manche_der_anwesenden;Undirected;1
fouche;gensdarmeriepatrouille_zu_fuss;Undirected;1
ein_ankommender_adjutant_5-5;paechter_lacoste;Undirected;1
ausrufer_einer_bildergalerie;herzog_von_orleans;Undirected;1
herzog_von_braunschweig;preussischer_adjutant;Undirected;1
der_heransprengende_adjutant;erster_offizier;Undirected;1
bourmont;fuenfter_jaeger;Undirected;1
ein_nebenstehender;volk_3-1;Undirected;1
chassecoeur;goettin_der_vernunft;Undirected;1
manche_der_anwesenden;mehrere;Undirected;1
bertrand;ein_offizier_der_suite;Undirected;1
jouve;schneidermeister;Undirected;1
jouve;maenner;Undirected;1
erster_adjutant_4-6a;wieder_ein_gardist;Undirected;1
ein_adjutant_4-6a;labedoyere;Undirected;1
herzog_von_angouleme;kurier;Undirected;1
ein_franzoesischer_hauptmann;sergeant_der_englischen_jaeger;Undirected;1
adjutanten_4-6a;ein_fluegeladjutant;Undirected;1
volk_3-1;weiber;Undirected;1
ein_alter_marquis;ein_kleiner_ofenheizer;Undirected;1
ein_adjutant_5-5b;paechter_lacoste;Undirected;1
ausrufer_einer_bildergalerie;marquis_von_hauterive;Undirected;1
ein_kraemer;maenner;Undirected;1
einer_aus_dem_gefolge_des_herzogs;zeitungsausrufer;Undirected;1
erster_aufwaerter;volk_5-1;Undirected;1
andere_umstehende;anderes_volk;Undirected;1
drouot;zweiter_offizier;Undirected;1
anderes_volk;schneidermeister;Undirected;1
die_franzosen;fritz;Undirected;1
einer_der_kuerassiere;versprengte_englische_dragoner;Undirected;1
ein_ankommender;jouve;Undirected;1
eine_dame_der_halle_3-1b;volk_3-1;Undirected;1
andere;ein_vorstaedter_3-1a;Undirected;1
goettin_der_vernunft;volk_im_mittelgrunde;Undirected;1
herzogin_von_chimay;schwarzer_becker;Undirected;1
ausrufer_einer_menagerie;herr_von_villeneuve;Undirected;1
donnerndes_geschrei_der_truppen_und_des_volkes;ein_junge;Undirected;1
herzog_von_angouleme;monsieur;Undirected;1
ein_nebenstehender;viele_aus_dem_volk_3-1;Undirected;1
der_nebenstehende;ein_hauptmann_der_gensdarmes;Undirected;1
andere;ein_buerger_3-1a;Undirected;1
adjutanten_4-6a;napoleon;Undirected;1
ein_adjutant_4-6b;zweiter_adjutant_4-6b;Undirected;1
einer_aus_der_masse;jouve;Undirected;1
eine_dame_der_halle_3-1b;viele_aus_dem_volk_3-1;Undirected;1
mehrere_stimmen_3-1a;vorstaedter_und_anderes_volk;Undirected;1
andere;mehrere_stimmen_3-1a;Undirected;1
advokat_duchesne;ein_vorstaedter_3-1b;Undirected;1
dritter_adjutant_5-5;ein_adjutant_5-5b;Undirected;1
der_heransprengende_adjutant;erster_adjutant_4-6a;Undirected;1
ein_offizier_des_generalstabes;lord_somerset;Undirected;1
drouot;ein_kapitaen_der_voltigeurs;Undirected;1
der_polnische_legionsreiter;napoleon;Undirected;1
ein_hauptmann_der_gensdarmes;leute_verschiedenen_standes;Undirected;1
ausrufer_einer_menagerie;die_stuhlvermieterin;Undirected;1
ausrufer_bei_einem_guckkasten;gensdarmes_1-1;Undirected;1
andere;der_emigrant;Undirected;1
alle_offiziere_der_suite;napoleon;Undirected;1
erster_offizier;sergeant_4-6;Undirected;1
ein_buerger_3-1a;leute_verschiedenen_standes;Undirected;1
die_offiziere_der_garde;zweiter_adjutant_4-6a;Undirected;1
bertrand;ein_englischer_dragoneroffizier;Undirected;1
eine_alte_putzhaendlerin;viele_stimmen_1-1a;Undirected;1
ein_englischer_obrist;ein_franzoesischer_soldat;Undirected;1
andere_adjutanten_5-5b;cambronne;Undirected;1
carnot;eine_linieninfanteriepatrouille;Undirected;1
englischer_artillerieobrist;erster_aufwaerter;Undirected;1
der_nebenstehende;volk_3-1;Undirected;1
der_emigrant;viele_vorstaedter_b;Undirected;1
chassecoeur;schneidermeister;Undirected;1
ein_englischer_liniensoldat;ein_franzoesischer_hauptmann;Undirected;1
einer_der_kuerassiere;lord_somerset;Undirected;1
ein_nebenstehender;eine_dame_der_halle_3-1b;Undirected;1
adjutanten_5-5;einer_der_gardehoboisten;Undirected;1
ein_ankommender;viele_aus_dem_volk_3-1;Undirected;1
ein_adjutant_5-5a;zweiter_adjutant_5-5;Undirected;1
dritter_offizier;ein_fluegeladjutant;Undirected;1
bertrand;die_schreibenden;Undirected;1
ein_anderer_offizier;ein_offizier_4-6b;Undirected;1
adeline;herzog_von_wellington;Undirected;1
ein_vorstaedter_3-2;offizier_der_polnischen_lanzenreiter;Undirected;1
jouve;viele_vorstaedter_a;Undirected;1
ein_anderer_offizier_der_gardegrenadiere_zu_pferde;ein_heransprengender_adjutant_5-5;Undirected;1
einer_der_gardehoboisten;paechter_lacoste;Undirected;1
mehrere_kuerassiere;versprengte_englische_dragoner;Undirected;1
fouche;zweiter_buerger_2-5;Undirected;1
ein_fluegeladjutant;erster_offizier;Undirected;1
ein_polizeibeamter;herr_von_villeneuve;Undirected;1
die_schreibenden;fouche;Undirected;1
eine_masse_franzoesischer_reiter;napoleon;Undirected;1
herzog_von_berry;marschall_ney;Undirected;1
fuenfter_jaeger;zweiter_jaeger;Undirected;1
eine_dame_der_halle_3-1b;mehrere_stimmen_3-1a;Undirected;1
erster_offizier;vitry;Undirected;1
ein_offizier_4-6b;zweiter_offizier;Undirected;1
leute_verschiedenen_standes;wieder_andere;Undirected;1
die_stuhlvermieterin;gensdarmes_1-1;Undirected;1
ein_anderer_offizier;napoleon;Undirected;1
alle_3-1;eine_dame_der_halle_3-1b;Undirected;1
fouche;offizier_3-3d;Undirected;1
die_garde_5-5;paechter_lacoste;Undirected;1
ein_anderer_offizier;ein_kapitaen_der_voltigeurs;Undirected;1
ein_heransprengender_adjutant_5-5;ein_offizier_der_gardegrenadiere_zu_pferde;Undirected;1
alle_3-1;noch_andere_a;Undirected;1
advokat_duchesne;zeitungsausrufer;Undirected;2
ein_hauptmann_der_gensdarmes;noch_andere_a;Undirected;1
ein_ankommender;ein_vorstaedter_3-1b;Undirected;1
frau_des_kraemers;volk_im_mittelgrunde;Undirected;1
andere_umstehende;jouve;Undirected;1
ein_in_der_ferne_in_die_schlachtlinie_rueckendes_regiment;zweiter_adjutant_4-6b;Undirected;1
